model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,nr_states,nr_transitions,build_time,check_time,total_time,reach_a,reach_b,reach_consensus,reach_a_first,reach_b_first,reach_robust95_a,reach_robust95_b,reach_robust99_a,reach_robust99_b,exp_consensus_time,status,error
crossinh_contrarians,50,0,0,0,0,0.0,35,40,1.05,0.95,1325,4902,0.021563575999607565,0.04516314800002874,0.06685972400009632,0.738298613882021,0.32862076554598685,0.9999987586245994,0.6872696120188702,0.31272914660573015,0.7231214077724742,0.2770258949332468,0.723104360500256,0.2769103198600288,3.1899166280638114,ok,
voter_zealots,50,3,3,0,6,0.12,35,40,1.05,0.95,45,88,0.017545159999826865,0.01093812799990701,0.028562214999510616,0.9995360602022967,0.9069626970864447,1.0000000000000004,0.5750404345468886,0.42495956545311164,0.0,0.0,0.0,0.0,0.4133559489777409,ok,
voter_contrarians,50,0,0,6,6,0.12,35,40,1.05,0.95,315,1592,0.018760132000352314,0.023666695000429172,0.04251922799994645,0.9999599590476225,0.9889431027724648,1.000000000000001,0.5574781219599587,0.4425218780400411,0.0,0.0,0.0,0.0,0.3677061923471559,ok,
crossinh_zealots,50,3,3,0,6,0.12,35,40,1.05,0.95,1035,3960,0.023504165999838733,0.043973889999506355,0.06759145100022579,0.7718027091514436,0.33583716151508974,0.999994177752737,0.6882639697685319,0.3117302079842057,0.7504055058674137,0.24986312968230262,0.750241068075271,0.24906712549790155,3.297568550788891,ok,
crossinh_contrarians,50,0,0,6,6,0.12,35,40,1.05,0.95,7245,49774,0.0543948710001132,0.1977756030000819,0.2525063169996429,0.7999126121410295,0.43023852553384656,0.9999897090474695,0.6303736242733786,0.3696160847740895,0.00012748700116813844,0.0,0.0,0.0,2.732270698253915,ok,
voter_zealots,50,5,5,0,10,0.2,35,40,1.05,0.95,41,80,0.01650207600050635,0.014843187999758811,0.03150095900036831,0.9999206239942307,0.9631551654610184,1.0000000000000002,0.5754895692555158,0.42451043074448436,0.0,0.0,0.0,0.0,0.4604235516376376,ok,
voter_contrarians,50,0,0,10,10,0.2,35,40,1.05,0.95,451,2416,0.020621243999812577,0.02452568999979121,0.04524083500018605,0.9999963437220917,0.9992881252514894,1.0000000000000002,0.5453342083134439,0.45466579168655485,0.0,0.0,0.0,0.0,0.36985095620115843,ok,
crossinh_zealots,50,5,5,0,10,0.2,35,40,1.05,0.95,861,3280,0.02284596000026795,0.033494846999928996,0.056517658999837295,0.8110489065508873,0.34978060338664296,0.9999891485111628,0.6857244548388002,0.31426469367236193,0.7804734611612342,0.0,0.7783554282123765,0.0,3.3193840116991615,ok,
crossinh_contrarians,50,0,0,10,10,0.2,35,40,1.05,0.95,9471,67818,0.0660761069993896,0.23402175699993677,0.3004522420005742,0.906064705713927,0.5823116046218626,0.9999931058597039,0.5850222454339244,0.41497086042577835,0.0,0.0,0.0,0.0,2.1178920638762406,ok,
voter_zealots,50,6,6,0,12,0.24,35,40,1.05,0.95,39,76,0.015048207000290859,0.007420048999847495,0.02253590200052713,0.9999599598984298,0.9765698485620516,0.9999999999999987,0.5757503628475326,0.42424963715246694,0.0,0.0,0.0,0.0,0.48821271009815004,ok,
voter_contrarians,50,0,0,12,12,0.24,35,40,1.05,0.95,507,2756,0.02163538799959497,0.023382784000204992,0.04520192000018142,0.9999985567135938,0.9998235023233194,0.9999999999999986,0.5391669640138658,0.46083303598613345,0.0,0.0,0.0,0.0,0.36964032728933166,ok,
crossinh_zealots,50,6,6,0,12,0.24,35,40,1.05,0.95,780,2964,0.022231614000702393,0.02984864700010803,0.05218210199927853,0.8406654903989605,0.3616829044868983,0.9999869922645733,0.6833239580952044,0.3166630341693698,0.7918969649171318,0.0,0.0,0.0,3.3113581573929425,ok,
crossinh_contrarians,50,0,0,12,12,0.24,35,40,1.05,0.95,10140,73324,0.06862819400066655,0.2535529120004867,0.3225523520004572,0.9431675500888195,0.6948634597544476,0.9999970092980907,0.5638033664921757,0.43619364280591544,0.0,0.0,0.0,0.0,1.780755902913685,ok,
voter_zealots,50,10,10,0,20,0.4,35,40,1.05,0.95,31,60,0.016175259000192455,0.007057652000185044,0.023298662999877706,0.9999916207075424,0.9947465652771055,0.9999999999999998,0.5771505504119873,0.42284944958801146,0.0,0.0,0.0,0.0,0.6434696115371792,ok,
voter_contrarians,50,0,0,20,20,0.4,35,40,1.05,0.95,651,3636,0.02242503200068313,0.02567852900028811,0.0482041860004756,0.9999999066296232,0.9999993241638641,0.9999999999999979,0.515008304678232,0.4849916953217657,0.0,0.0,0.0,0.0,0.3606260783820527,ok,
crossinh_zealots,50,10,10,0,20,0.4,35,40,1.05,0.95,496,1860,0.01772778299982747,0.02038141100001667,0.038218857000174467,0.9582265908379893,0.4965038260066078,0.999988991314152,0.6672225939505956,0.33276639736355634,0.0,0.0,0.0,0.0,3.169597496851071,ok,
crossinh_contrarians,50,0,0,20,20,0.4,35,40,1.05,0.95,10416,76388,0.0696964669996305,0.3034108100000594,0.37349056800030667,0.9949476711951701,0.9782967995794952,0.9999999995851704,0.5051146481170266,0.49488535146814533,0.0,0.0,0.0,0.0,0.7817132309755942,ok,
voter_zealots,50,13,13,0,26,0.52,35,40,1.05,0.95,25,48,0.01583433799987688,0.009377168000355596,0.025354592999974557,0.9999908842790999,0.9970022187766058,0.9999999999999978,0.5788327821373523,0.42116721786264616,0.0,0.0,0.0,0.0,0.844634326892183,ok,
voter_contrarians,50,0,0,26,26,0.52,35,40,1.05,0.95,675,3792,0.018389918000139005,0.022012813000401366,0.040501792000213754,0.9999999800092151,0.9999999891126051,1.000000000000001,0.49859425742481517,0.5014057425751856,0.0,0.0,0.0,0.0,0.346758637300063,ok,
crossinh_zealots,50,13,13,0,26,0.52,35,40,1.05,0.95,325,1200,0.019556813000235707,0.017253931000595912,0.03691449000052671,0.9839576215877566,0.6754474615201173,0.9999951118779169,0.6525091829705312,0.3474859289073857,0.0,0.0,0.0,0.0,3.0781068090421186,ok,
crossinh_contrarians,50,0,0,26,26,0.52,35,40,1.05,0.95,8775,64154,0.059906946000410244,0.23098258200025157,0.2912424230007673,0.9997556876059018,0.9996663451361495,1.0000000000000007,0.48492935232458706,0.5150706476754123,0.0,0.0,0.0,0.0,0.479517729621804,ok,
