model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,simulation_horizon,stable_a_successes,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b_successes,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus_successes,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_zealots,1000,0,0,0,0,0.0,35,40,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,14400384585677524734,254.22708527898067,ok,
voter_zealots,1000,0,0,0,0,0.0,35,60,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,14400384585677524734,254.22708527898067,ok,
voter_zealots,1000,0,0,0,0,0.0,35,80,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,14400384585677524734,254.22708527898067,ok,
voter_zealots,1000,30,30,0,60,0.06,35,0,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,39,0.008666666666666666,0.0057606824166089934,0.013019382652530345,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,10894748565276139397,1081.0547865109984,ok,
voter_zealots,1000,30,30,0,60,0.06,35,5,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,10894748565276139397,1081.0547865109984,ok,
voter_zealots,1000,30,30,0,60,0.06,35,10,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,10894748565276139397,1081.0547865109984,ok,
voter_zealots,1000,30,30,0,60,0.06,35,20,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,10894748565276139397,1081.0547865109984,ok,
voter_zealots,1000,30,30,0,60,0.06,35,30,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,10894748565276139397,1081.0547865109984,ok,
voter_zealots,1000,30,30,0,60,0.06,35,40,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,10894748565276139397,1081.0547865109984,ok,
voter_zealots,1000,30,30,0,60,0.06,35,60,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,10894748565276139397,1081.0547865109984,ok,
voter_zealots,1000,30,30,0,60,0.06,35,80,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,10894748565276139397,1081.0547865109984,ok,
voter_zealots,1000,50,50,0,100,0.1,35,0,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,24,0.005333333333333333,0.0031736128081501207,0.008949600599314449,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,1820413109766080001,1100.8904945540125,ok,
voter_zealots,1000,50,50,0,100,0.1,35,5,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,1820413109766080001,1100.8904945540125,ok,
voter_zealots,1000,50,50,0,100,0.1,35,10,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,1820413109766080001,1100.8904945540125,ok,
voter_zealots,1000,50,50,0,100,0.1,35,20,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,1820413109766080001,1100.8904945540125,ok,
voter_zealots,1000,50,50,0,100,0.1,35,30,1.05,0.95,115,4495,0.9988888888888889,0.9966801227611441,0.9996286759361794,0,0.0,0.0,0.0014722507487849438,4495,0.9988888888888889,0.9966801227611441,0.9996286759361794,4500,0.99,0,1820413109766080001,1100.8904945540125,ok,
voter_zealots,1000,50,50,0,100,0.1,35,40,1.05,0.95,115,4474,0.9942222222222222,0.9904968341160709,0.9964923722549079,0,0.0,0.0,0.0014722507487849438,4474,0.9942222222222222,0.9904968341160709,0.9964923722549079,4500,0.99,0,1820413109766080001,1100.8904945540125,ok,
